draft_num,draft_year,name,report
52,2013,Justin Bailey,"Tall and skinny winger with soft and hands and excellent anticipation. He has good speed, and strong push in his stride. He uses a shorter stick that allows him to play well in traffic and will use his skill and athleticism to his advantage. Creates shooting lanes and has a nice release. Dislaps a quick release. Creates turnovers and is smart with his passes. He must improve balance, and add leg strength."
45,2013,Nick Sørensen,"Hightly-touted Danish-Swedish prospect needed reconstructive surgery on his ACL & MCL and will not play again until this 2012-13 season. Prior to the injury, he displayed tremendous first steps, a set of gears that combined with his passing and smarts to project him as a player with significant upside. His development has been stifiled by the rule which limits each team in the ""Q"" to only suit two European born players per team, and his Quebec team has ""vets"" Grigorenko and Kucherov ahead of him. He is a rising prospect whose draft slotting may be decided on him playing more. It was thought that Quebec would trade him, but he did get playing time until Grigorenko returned from Buffalo. he still managed 20 goals and 47 points in 46 games during the season, and 7 goals, 10 points in 8 games in the QMJHL playoffs."
46,2013,Gustav Olofsson,"Moved to the U.S. four years ago and has provided Green Bay with a solid stay-at-home defender who shows up-ice competence. Uses his reach,stick, and body to break up plays. Has a high panic level when he has the puck, and makes the outlet pass with regularity. He is committed to Colorado College."
51,2013,Carl Dahlström,"Strong large molded Swedish defenseman that is refining his game. Active, smart ,fluid and strong on the puck when in possession. Has good feet, improved stick-handling and is showing he belongs on the draft lists. Possesses a big hard shot. Does so many things good dee-men already. Makes the outlet pass, closes his gaps, clearing the crease, etc. Plays big time minutes, and an strong defensive side. He has plenty of developing to do, but has outstanding upside."
59,2011,Rasmus Bengtsson,"More of a stay at home defender who does have a nice shot from the point. A bit heavy booted, and time will tell if he can improve enough to make a mark in the NHL."
48,2013,Zach Natasiuk,"Versatile player with willingness to aggressively compete. Is very good on the cycle, but has balance issues. Shows some grit in his forecheck. Strong shot. He needs to improve footspeed, foot work and his skill levels in all phases. There is some upside, the question is just how much.  He was selected to the roster for the World Junior Under-18 Tournament in April."
47,2013,Tom Vanelli,"Aggressive offensive defender with a top gear, who is equally assertive defensively. Tremendous stride and balance.  Offensive gambler who wants to make things happen and skates the puck very well, and is dangerous in transistion. Shows strong physicality in his own zone, and although unpolished, and still not showing top strength at this juncture, he shows good upside. He still has lots to learn and work on, but the guy is simply leads by example with plenty of enthusiasm. Tremendous upside based on his all around infectious all around aggressive energy and effortless jump. He was selected to the roster for the World Junior Under-18 Tournament in April, and scored a big goal against the Russian team.  He is committed to the University of Minnesota."
186,2011,Aaron Harstad,"Undrafted last year, he is a mobile defenseman with PP experience."
44,2013,Tristan Jarry,"Athletic hybrid goaler with good size and ability, but needs time. Possesses plenty of positive attributes and strengths that projecting going off the board early in round two of the draft, including a good glove, squaring up, hold his ground, and staying calm and collected."
50,2013,Dillon Heatherington,"Defense-first backliner who is good in transition. Strong positional skater who limits opponents chances due to his calmness and smarts. Plays a make it simple style and uses his teammates as safety valves, and doesn't try and do too much. He may need to improve stop & starts, but moves well laterally, and adding a little more aggression to his game might make him even more desirable. Does have some grit to his game, and since he will be looked at as 3rd pairing guy, that might be a prerequisite to advance. Excellent functional strength and good instincts.  He was selected to the roster for the World Junior Under-18 Tournament in April."
49,2013,Gabryel Paquin-Boudreau,"Displays good speed, and offensive gifts. A developing first year player, who shows creativity on the attack, but needs to continue growing stronger. Plays at a high rate of speed and handles the puck well. Will never be a large guy, but he is a creative sniper with superb first step acceleration, and tremendous cutting ability to go with quick passes, and a good wrister. Kills penalities and ahs been asked to be a shutdown centre too."
210,2014,Jacob Middleton,"A big defender who has excellent mobility, size, and snarl. Has good feet and pivots for a bigger man, and was strong and mean along the wall. Seems like more of a development pick at this point. He hasn't figured out how to use his speed to pressure and close as well as he should, and if he can improve on the back end and add some offense, I suspect he will climb the boards."
208,2014,Jack Ramsey,"Big wing has size and uses it. At this juncture is more of a North-South trailer on the attack. A developing player who has a strong wall presence and due to his size and strength can win battles in front and in all battle areas. A hard hit hitter who still needs polish as a guy in control of the puck, there is lots to like with the unfinished product. Committed to the University of Minnesota."
209,2014,Spencer Watson,"Gifted scorer who has a knack for scoring. Very smart player who has a feel for the game situations and quickly makes the most of them. Whether it's crashing the front, or flying off the wall with the puck to shake things up from the middle, he is a dangerous attacker with lightning release. Lacks great size, strength and speed, but still is already an impact player in the OHL."
207,2014,Jake Evans,Thin six footer plays sixty minutes is responsible in his own end. good balance and stride but needs to increase foot speed. Good on the cycle. and at this point is more passer than shooter.
204,2014,Julien Nantel,"Displays plenty of the attributes that NHL wings must have. Has a good strong skating stride, size, and strength. Excellent on the wall and corners. Wins puck battles and is good on the cycle. uses his strength and strong skating to fight for possession in all zones. Has yet to find a constitent offensive game."
206,2014,Emil Johansson,"Solid skating undersized defenseman who has excellent balance and backward movement. Understands his how to play his position and uses his mobility to stay in position in his zone. Reads situations well, but sometimes gets ahead of himself when has puck possession and feels pressure."
202,2014,Dwyer Tschantz,"The only current Midget Major forward listed on the NHL Central Scouting Bureau's Players to Watch List, based on his combination of tremendous size and developing hands and feet."
205,2014,Ondrej Kase,"Undersized Czech wing who displays creativity, slick moves and excellent passing skills. Not the fastest guy, but one who comes out of high traffic areas with the puck on his stick, and the soft hands to get it where he wants.  An excellent playmaker with a quick wrister.  Not fast, just slippery, and agile, he is deadly on the rush, making monkeys out of the defenders who attempt to close in and stop him. Has patience, vision, playmaking skills, a nice saucer pass, and good awareness. A member of his homeland’s team roster for the World Junior Under-20 at Christmas 2014."
217,2017,Will Reilly,Will Reilly
212,2017,Ivan Chekhovich,"High skilled elite forechecker who unearths pucks and scores by driving into the faces of the opposing defenders and contesting for pucks that should has never gone to him. A puck hound who will take the biscuit and ramp to top gear, then be in position for his own rebound. He seems to ramp up when there's a hint of being part of an odd man break -- as if he smells blood. Goes wide with the puck far from the opposing defenders and turns back in to the scoring area. He also will gain the line and weave, so his second and third layers of teammate/attackers can join in. Decent player in his own end; positions himself well and blocks shots. Can take the the hard pass at top speed and also surprise defenders who think the puck is safe…until he steals it back."
211,2017,Croix Evington,Committed to the Division I UMass-Lowell.
208,2017,Phil Kemp,"A big athletic defenseman with good skating ability but needs to work on pivots and turns. Better when he is in open space or not in close quarters. Ends up having trouble when pressured and turns many pucks over. Uses his size as deterrent along the boards, and his stick to clog lanes.  He displays an emerging offensive game in the attack zone, but needs to improve his puck skills and in-game IQ. Long term developmental player."
216,2017,Jacob Paquette,"Bigger bodied defender who projects at this juncture as a defense-first stay at home player. A rock in front of his own net, and takes care of clearing it out. Has a solid stride and good jump when moving around his end and in his play in transition. Knows his limitations offensively and plays to his own strengths: bodying opponents out, pin and seals with gusto, and using his thick huge frame to his advantage. Physical in the corners and the front. Is disciplined enough to play a firm simple game in his own end. If a team is looking for a well-rounded defenseman, he ranks as a long term developmental guy, who you hope gains confidence, grows, and offensive side."
60,2015,Oliver Kylington,"Clearly one of the top end elite skaters and puck movers in the class. Has the ability to play in tight space and control the puck and play. Plays like he knows he has more ability than the rest of the ice, and is poised and composed in all phases when he gets a puck in his end. He is able to work out with smart passes or carry the mail with top acceleration. Good in his one end, and although not overly big framed, he have the stamina to fight through the rough going and excel. A member of his homeland’s team roster for the World Junior Under-20 at Christmas 2014."
124,2015,Ethan Bear,"Excellent defensive defenseman who has an aggressive stick, blocks tons of shots, handles one on ones, strips away pucks and refuses to any room in his zone. Clears the front. Will relieve pressure by carrying the puck out of his zone. Excels on the pK and is a key component to his team’s success there. His offensive side needs work and he probably needs to be more confident enough with shooting the puck."
214,2017,Matthew Hellickson,Committed to the University of Norte Dame.
114,2018,Ivan Prosvetov,Grew more than a half a foot in 18 months and now qualifies as an interesting option as a netminder prospect.
