draft_num,draft_year,report,word_count,A,G,GP,PIM,Pts,draft_team,junior_team,name,pos,round_num,clas
52,2013,"Tall and skinny winger with soft and hands and excellent anticipation. He has good speed, and strong push in his stride. He uses a shorter stick that allows him to play well in traffic and will use his skill and athleticism to his advantage. Creates shooting lanes and has a nice release. Dislaps a quick release. Creates turnovers and is smart with his passes. He must improve balance, and add leg strength.",72,4,5,63,10,9,Buffalo,Kitchener Rangers [OHL],Justin_Bailey,R,2,False
45,2013,"Hightly-touted Danish-Swedish prospect needed reconstructive surgery on his ACL & MCL and will not play again until this 2012-13 season. Prior to the injury, he displayed tremendous first steps, a set of gears that combined with his passing and smarts to project him as a player with significant upside. His development has been stifiled by the rule which limits each team in the ""Q"" to only suit two European born players per team, and his Quebec team has ""vets"" Grigorenko and Kucherov ahead of him. He is a rising prospect whose draft slotting may be decided on him playing more. It was thought that Quebec would trade him, but he did get playing time until Grigorenko returned from Buffalo. he still managed 20 goals and 47 points in 46 games during the season, and 7 goals, 10 points in 8 games in the QMJHL playoffs.",145,1,0,5,2,1,Anaheim,Quebec Remparts [QMJHL],Nick_Sorensen,R,2,False
46,2013,"Moved to the U.S. four years ago and has provided Green Bay with a solid stay-at-home defender who shows up-ice competence. Uses his reach,stick, and body to break up plays. Has a high panic level when he has the puck, and makes the outlet pass with regularity. He is committed to Colorado College.",53,11,0,56,16,11,Minnesota,Green Bay Gamblers [USHL],Gustav_Olofsson,D,2,False
51,2013,"Strong large molded Swedish defenseman that is refining his game. Active, smart ,fluid and strong on the puck when in possession. Has good feet, improved stick-handling and is showing he belongs on the draft lists. Possesses a big hard shot. Does so many things good dee-men already. Makes the outlet pass, closes his gaps, clearing the crease, etc. Plays big time minutes, and an strong defensive side. He has plenty of developing to do, but has outstanding upside.",78,9,0,49,6,9,Chicago,Linkoping Jrs. (Sweden),Carl_Dahlstrom,D,2,False
59,2011,"More of a stay at home defender who does have a nice shot from the point. A bit heavy booted, and time will tell if he can improve enough to make a mark in the NHL.",36,0,0,0,0,0,Florida,Rogle BK Angelholm [Swe-1],Rasmus_Bengtsson,D,2,False
48,2013,"Versatile player with willingness to aggressively compete. Is very good on the cycle, but has balance issues. Shows some grit in his forecheck. Strong shot. He needs to improve footspeed, foot work and his skill levels in all phases. There is some upside, the question is just how much.  He was selected to the roster for the World Junior Under-18 Tournament in April.",63,0,0,0,0,0,Detroit,Owen Sound Attack [OHL],Zach_Nastasiuk,R,2,False
47,2013,"Aggressive offensive defender with a top gear, who is equally assertive defensively. Tremendous stride and balance.  Offensive gambler who wants to make things happen and skates the puck very well, and is dangerous in transistion. Shows strong physicality in his own zone, and although unpolished, and still not showing top strength at this juncture, he shows good upside. He still has lots to learn and work on, but the guy is simply leads by example with plenty of enthusiasm. Tremendous upside based on his all around infectious all around aggressive energy and effortless jump. He was selected to the roster for the World Junior Under-18 Tournament in April, and scored a big goal against the Russian team.  He is committed to the University of Minnesota.",125,0,0,0,0,0,St. Louis,Minnetonka (Minn. H.S.),Tommy_Vannelli,D,2,False
44,2013,"Athletic hybrid goaler with good size and ability, but needs time. Possesses plenty of positive attributes and strengths that projecting going off the board early in round two of the draft, including a good glove, squaring up, hold his ground, and staying calm and collected.",45,2,0,29,4,2,Pittsburgh,Edmonton Oil Kings [WHL],Tristan_Jarry,G,2,False
50,2013,"Defense-first backliner who is good in transition. Strong positional skater who limits opponents chances due to his calmness and smarts. Plays a make it simple style and uses his teammates as safety valves, and doesn't try and do too much. He may need to improve stop & starts, but moves well laterally, and adding a little more aggression to his game might make him even more desirable. Does have some grit to his game, and since he will be looked at as 3rd pairing guy, that might be a prerequisite to advance. Excellent functional strength and good instincts.  He was selected to the roster for the World Junior Under-18 Tournament in April.",112,2,0,11,26,2,Columbus,Swift Current Broncos [WHL],Dillon_Heatherington,D,2,False
49,2013,"Displays good speed, and offensive gifts. A developing first year player, who shows creativity on the attack, but needs to continue growing stronger. Plays at a high rate of speed and handles the puck well. Will never be a large guy, but he is a creative sniper with superb first step acceleration, and tremendous cutting ability to go with quick passes, and a good wrister. Kills penalities and ahs been asked to be a shutdown centre too.",77,0,0,0,0,0,San Jose,Baie-Comeau Drakkar [QMJHL],Gabryel_Boudreau,L,2,False
